titulo,empresa,descricao,data de publicacao,salario,localizacao
Software Engineer - PL/SQL Developer,GRiT Solutions,"<p style=""text-align:center;""><strong>Software Engineer - PL/SQL Developer</strong></p><p><strong>Dive into Development: Join as a PL/SQL Enthusiast!</strong></p><p>There's no secret for being number-one; it takes willingness to improve and determination to pursue it. At GRiT®, it’s all about the journey to get there. We believe talent and intelligence are important, yet passion and perseverance are the key to achieving any goal.</p><p>We are Tech Passionate People with a Purpose, delivering solutions while building strong long-term relations.</p><p>At GRiT®, we embrace inclusion and social responsibility, recognizing that each individual contributes uniquely to our collective success. We are committed to creating a diverse, respectful and inclusive environment.</p><p>People. Technology. Innovation. All-around it.</p><p><strong>Are you GRiTTY enough to be part of our journey?</strong> Take the first step by applying now and let’s create our future together.</p><p><strong> </strong></p><p><strong>Must-Have:</strong></p><ul><li>A minimum of 2 years of work experience with PL/SQL development</li><li>Advanced knowledge of relational databases (Oracle)</li><li>Mastery of PL/SQL</li><li>Knowledge of JAVA</li><li>Excellent time management, organization, and attention to detail</li><li>Demonstrable critical thinking and problem solving</li></ul><p><strong>Would be great if you have:</strong></p><ul><li>Ability to see change as an opportunity</li><li>Absolute focus on delivery</li></ul><p><strong>What’s in it for you:</strong></p><ul><li>Continuous Training and Certifications </li><li>GRiT Prizes: GRiT Baby Gift, GRiT Birthday Prize, GRiT Recommendation Prize </li><li>Exclusive Partnerships/Discounts: (Gym, Health, Well-being, Lifestyle, Financial, etc…) </li><li>Unique Events </li><li>Welcoming Office (Fruit, Coffee, Pool Table, etc.) </li><li>Competitive Compensation </li><li>Pay for Performance </li></ul><p><strong> </strong></p><p><strong>#PassionInTech - Fuel your passion, join our tech tribe!</strong></p><p> </p><p>Apply here: <a href=""https://grit-solutions.key.work/jobs/opportunity/132"">https://grit-solutions.key.work/jobs/opportunity/132</a></p>",2024-11-08 12:10:57,,Lisboa
Quality Expert,Noesis Portugal,"<p>Noesis is looking for professionals to work at our offices in Coimbra, Guarda or Covilhã with the following profile:</p><p><strong>Main Tasks and Responsibilities:</strong></p><ul><li>Develop and execute all different types of tests</li><li>Perform exploratory testing to detect undocumented problems</li><li>Create, maintain and execute detailed test cases and test scenarios</li><li>Identifying bugs/defects and reporting it on an appropriate tool</li><li>Creating detailed bug reports with screenshots, step-by-step explanations, to reproduce the problem</li><li>Develop and maintain test strategies, when applicable</li><li>Use of test and defect management tools</li><li>Elaboration and presentation of status reporting for the client</li><li>Lead and train team members in the project, when applicable</li><li>Provide constructive feedback to the development team</li><li>Participating in meetings when necessary</li><li>Contribute to the continuous improvement of testing and quality processes</li><li>Comply with the project standards on testing policies, criteria, strategy and procedure</li><li>Communicate effectively with the project stakeholders</li><li>Be the bridge of interaction with the final client</li></ul><p><strong>Profile: </strong></p><ul><li>At least 6 years of professional experience in similar functions</li><li>Experience in design, planning and execution of functional testing</li><li>Experience in test management tools, defect management tools and reporting</li><li>Experience with Regression, Integration and E2E Testing</li><li>SQL Knowledge</li><li>Familiarity with Agile methodologies</li><li>Autonomy in QA tasks and capacity for decision</li><li>Team Management skills</li><li>Training skills</li><li>Excellent communication, planning and organization skills</li><li>Good English communication skills, both written and spoken</li><li>Capacity for initiative, dynamism and proactivity</li></ul><p><u>Nice-to-have: </u></p><ul><li>Degree in computer science or similar</li><li>ISTQB Certifications</li><li>Spanish/Castilian communication skills</li></ul><p>If you meet these requirements and are interested in joining an audacious and innovative company, please send us your application.</p><p><strong>Join us. Let’s innovate together!</strong></p><p>All our recruitment and selection processes are based on equal opportunities, valuing the competence and potential of each person and ensuring that no candidate is discriminated on the grounds of gender, ethnicity, sexual orientation, age, religion or physical condition.</p><p>Join us in: <a href=""https://opportunities.noesis.pt/jobs/quality-expert-coimbra-covilha-guarda?displayed_form=true&amp;utm_source=ITJobs"">Quality Expert (Coimbra, Covilhã, Guarda)</a></p>",2024-11-08 12:10:50,,Coimbra
